Gen.1.26	Isa.64.8	d
Gen.1.26	John.5.17	d
Gen.1.26	Ps.8.4-Ps.8.8	b
Gen.1.26	Gen.9.2-Gen.9.4	b
Gen.1.26	Gen.3.22	d
Gen.1.26	Gen.11.7	d
Gen.1.26	1John.5.7	d
Gen.1.26	Col.3.10	b
Gen.1.26	Job.35.10	d
Gen.1.26	Eccl.7.29	d
Gen.1.26	Heb.2.6-Heb.2.9	d
Gen.1.26	Ps.104.20-Ps.104.24	b
Gen.1.26	Jer.27.6	d
Gen.1.27	1Cor.11.7-1Cor.11.9	b
Gen.1.27	Col.1.26	d
Gen.1.27	Ps.139.14	d
Gen.1.27	Mal.2.15	d
Gen.1.27	Gen.2.18	d
Gen.1.27	Gen.5.1-Gen.5.2	b
Gen.1.27	Mark.10.6	b
Gen.1.27	Matt.19.4	b
Gen.1.27	Gen.2.21-Gen.2.25	d
Gen.1.28	Ps.128.3-Ps.128.4	b
Gen.1.28	Gen.17.16	d
Gen.1.28	Gen.8.17	b
Gen.1.28	Gen.49.25	d
Gen.1.28	Lev.26.9	b
Gen.1.28	Gen.9.1	b
Gen.1.28	Gen.9.7	b
Gen.1.28	Gen.22.17-Gen.22.18	b
Gen.1.28	Ps.69.34	b
Gen.1.28	Gen.26.3-Gen.26.4	b
Gen.1.28	Gen.17.20	b
Gen.1.28	Ps.127.1-Ps.127.5	b
Gen.1.29	Gen.9.3	b
Gen.1.29	Gen.2.16	b
Gen.1.29	Ps.147.9	d
Gen.1.29	Ps.104.14-Ps.104.15	b
Gen.1.29	Acts.17.28	d
Gen.1.29	Acts.14.17	d
Gen.1.29	Matt.6.11	d
Gen.1.29	Ps.111.5	b
Gen.1.29	Ps.146.7	d
Gen.1.29	1Tim.6.17	d
Gen.1.29	Ps.136.25	d
Gen.1.29	Hos.2.8	d
Gen.1.30	Job.38.39-Job.38.41	b
Gen.1.30	Ps.104.14	b
Gen.1.30	Gen.9.3	b
Gen.1.30	Job.39.4	d
Gen.1.30	Job.40.15	d
Gen.1.30	Ps.145.15-Ps.145.16	b
Gen.1.31	Ps.104.31	d
Gen.1.31	Ps.104.24	d
Gen.1.31	Exod.20.11	d
Gen.2.1	Jer.8.2	b
Gen.2.1	Isa.45.12	b
Gen.2.1	Isa.45.18	b
Gen.2.1	Isa.42.5	b
Gen.2.1	Neh.9.6	b
Gen.2.1	Ps.33.9	d
Gen.2.2	Heb.4.4	b
Gen.2.2	Exod.23.12	b
Gen.2.2	Deut.5.14	b
Gen.2.2	Exod.20.8-Exod.20.11	b
Gen.2.2	Isa.58.13	d
Gen.2.2	Exod.31.17	b
Gen.2.3	Exod.16.22-Exod.16.30	b
Gen.2.3	Exod.20.8-Exod.20.11	b
Gen.2.3	Exod.23.12	b
Gen.2.3	Ezek.20.12	d
Gen.2.3	Mark.2.27	d
Gen.2.3	Deut.5.12-Deut.5.14	b
Gen.2.3	Exod.35.2-Exod.35.3	b
Gen.2.3	Exod.34.21	b
Gen.2.3	Lev.23.3	b
Gen.2.3	Neh.9.14	d
Gen.2.3	Heb.4.4-Heb.4.10	b
Gen.2.3	Isa.58.13-Isa.58.14	d
Gen.2.3	Exod.31.13-Exod.31.17	b
Gen.2.4	Gen.1.1	b
Gen.2.4	Exod.15.3	d
Gen.2.4	Rev.1.8	d
Gen.2.4	Gen.5.1	b
Gen.2.4	Ps.90.1-Ps.90.2	b
Gen.2.4	Gen.1.4	d
Gen.2.5	Job.38.26-Job.38.28	b
Gen.2.5	Ps.104.14	b
Gen.2.5	Heb.6.7	b
Gen.2.5	Gen.4.12	b
Gen.2.5	Ps.65.9-Ps.65.11	b
Gen.2.5	Jer.14.22	b
Gen.2.5	Ps.135.7	b
Gen.2.5	Gen.3.23	b
Gen.2.5	Job.5.10	b
Gen.2.5	Gen.1.11-Gen.1.12	b
Gen.2.7	Prov.20.27	d
Gen.2.7	Gen.3.19	b
Gen.2.7	Num.16.22	d
Gen.2.7	1Cor.15.47	d
Gen.2.7	Isa.64.8	d
Gen.2.7	2Cor.5.1	d
Gen.2.7	Acts.17.25	b
Gen.2.7	Isa.2.22	b
Gen.2.7	Job.33.4	b
Gen.2.7	Job.27.3	b
Gen.2.7	Gen.7.22	b
Gen.2.7	Job.33.6	b
Gen.2.7	Heb.12.9	d
Gen.2.7	2Cor.4.7	d
Gen.2.8	Gen.3.24	b
Gen.2.8	2Kgs.19.12	b
Gen.2.8	Joel.2.3	b
Gen.2.8	Ezek.31.8-Ezek.31.9	b
Gen.2.8	Isa.51.3	b
Gen.2.8	Ezek.28.13	b
Gen.2.8	Ezek.31.18	b
Gen.2.9	Rev.22.2	b
Gen.2.9	Gen.3.22	b
Gen.2.9	Prov.11.30	b
Gen.2.9	Prov.3.18	b
Gen.2.9	Rev.22.14	b
Gen.2.9	Rev.2.7	b
Gen.2.9	Ezek.31.8-Ezek.31.9	b
Gen.2.9	Gen.3.3	b
Gen.2.9	Ezek.31.16	d
Gen.2.12	Exod.28.20	b
Gen.2.12	Job.28.16	b
Gen.2.12	Exod.39.13	b
Gen.2.12	Ezek.28.13	b
